armed,gender,race,signs_of_mental_illness,threat_level,flee,age_range
gun,M,White,False,attack,Not fleeing,31-40
gun,M,Hispanic,False,attack,Foot,21-30
gun,M,Black,False,attack,Not fleeing,41-60
unknown,M,White,False,attack,Not fleeing,21-30
gun,M,White,False,attack,Car,31-40
gun,M,White,True,other,Car,31-40
knife,M,White,True,undetermined,Other,21-30
gun,M,White,False,other,Not fleeing,41-60
knife,M,Black,False,undetermined,Not fleeing,41-60
gun,M,White,False,attack,Foot,41-60
gun,M,Native,False,attack,Not fleeing,31-40
unknown,M,White,True,other,Not fleeing,41-60
blunt object,M,White,False,other,Not fleeing,41-60
gun,M,White,False,undetermined,Other,41-60
knife,M,White,True,other,Not fleeing,41-60
knife,M,Hispanic,False,attack,Not fleeing,41-60
gun,M,Hispanic,False,undetermined,Foot,21-30
unarmed,F,White,False,undetermined,Not fleeing,41-60
gun,M,Black,True,other,Not fleeing,21-30
gun,M,White,False,attack,Foot,21-30
gun,F,Black,False,attack,Not fleeing,21-30
gun,M,Hispanic,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Car,41-60
gun,M,Hispanic,False,attack,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,31-40
gun,M,White,True,other,Not fleeing,60-100
gun,M,White,False,attack,Not fleeing,21-30
knife,M,Hispanic,True,other,Not fleeing,21-30
unarmed,M,Other,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Car,21-30
knife,M,Hispanic,False,other,Not fleeing,21-30
gun,M,Hispanic,False,attack,Foot,41-60
toy weapon,M,White,False,attack,Car,41-60
gun,M,White,True,attack,Not fleeing,41-60
gun,M,Hispanic,False,attack,Not fleeing,41-60
knife,M,White,False,attack,Not fleeing,31-40
gun,M,White,True,attack,Car,31-40
ax,M,White,True,other,Foot,21-30
gun,M,White,False,attack,Car,21-30
gun,M,Hispanic,True,attack,Not fleeing,31-40
toy weapon,M,Black,False,attack,Not fleeing,0-20
gun,M,White,False,attack,Other,31-40
gun,M,White,False,attack,Not fleeing,21-30
knife,F,White,True,attack,Not fleeing,60-100
unknown,M,Black,False,attack,Car,21-30
blunt object,M,Hispanic,False,attack,Not fleeing,21-30
knife,M,White,False,other,Not fleeing,31-40
knife,M,Hispanic,False,attack,Not fleeing,31-40
gun,M,White,False,other,Not fleeing,41-60
gun,M,Black,False,attack,Car,31-40
gun,M,White,False,attack,Not fleeing,21-30
unknown,M,Hispanic,False,attack,Car,31-40
knife,M,White,True,other,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Car,41-60
gun,M,Black,False,attack,Car,21-30
knife,M,Black,True,attack,Not fleeing,31-40
unarmed,M,Black,False,attack,Car,21-30
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Hispanic,True,attack,Not fleeing,31-40
unknown,M,Black,False,attack,Car,31-40
gun,M,White,False,attack,Foot,31-40
knife,M,White,False,other,Not fleeing,41-60
gun,M,Hispanic,False,attack,Not fleeing,31-40
gun,M,Hispanic,True,attack,Not fleeing,21-30
gun,M,Black,True,attack,Not fleeing,21-30
machete,M,Hispanic,False,attack,Car,41-60
gun,M,Black,False,attack,Not fleeing,21-30
unknown,M,White,False,other,Car,21-30
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Foot,0-20
gun,M,White,True,attack,Not fleeing,31-40
gun,M,White,False,other,Not fleeing,31-40
gun,M,Black,False,other,Not fleeing,41-60
toy weapon,M,White,True,attack,Not fleeing,31-40
gun,F,White,False,other,Not fleeing,31-40
gun,M,White,False,other,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,21-30
knife,M,Hispanic,True,attack,Not fleeing,31-40
knife,M,White,False,other,Foot,31-40
gun,M,Black,False,attack,Foot,21-30
knife,M,Hispanic,False,attack,Not fleeing,41-60
knife,M,Hispanic,False,other,Not fleeing,21-30
unarmed,M,White,False,other,Car,31-40
gun,M,White,True,attack,Not fleeing,21-30
gun,M,Black,False,other,Other,0-20
unknown,M,Black,False,attack,Car,21-30
gun,M,White,False,attack,Other,31-40
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Black,True,other,Not fleeing,31-40
knife,M,Hispanic,False,attack,Not fleeing,31-40
gun,M,White,False,other,Not fleeing,21-30
gun,M,White,False,other,Car,41-60
machete,M,White,False,attack,Foot,41-60
knife,M,Black,False,other,Foot,41-60
sword,M,Black,True,attack,Not fleeing,41-60
toy weapon,M,White,False,attack,Foot,41-60
gun,M,White,False,attack,Not fleeing,21-30
unknown,M,Black,False,undetermined,Not fleeing,31-40
gun,M,Black,False,undetermined,Foot,31-40
gun,M,White,True,attack,Not fleeing,41-60
unknown,M,White,False,undetermined,Not fleeing,60-100
knife,M,Hispanic,True,other,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,21-30
gun,M,Black,False,attack,Not fleeing,21-30
Taser,M,White,False,attack,Not fleeing,31-40
gun,M,White,False,other,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,31-40
toy weapon,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,60-100
knife,M,White,True,other,Other,21-30
gun,M,Black,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,60-100
knife,F,Black,False,attack,Not fleeing,31-40
unknown,M,Hispanic,False,attack,Car,60-100
knife,M,White,False,other,Foot,31-40
gun,M,White,False,other,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,41-60
gun,F,White,True,other,Not fleeing,21-30
gun,M,White,True,other,Not fleeing,21-30
gun,M,Hispanic,False,attack,Foot,0-20
gun,M,Black,False,other,Foot,21-30
gun,M,White,False,other,Not fleeing,41-60
gun,F,White,True,undetermined,Not fleeing,21-30
unarmed,M,Black,False,attack,Foot,41-60
gun,M,Black,False,attack,Foot,0-20
gun,M,Hispanic,False,attack,Not fleeing,21-30
gun,M,White,False,other,Not fleeing,31-40
knife,M,White,False,attack,Foot,31-40
gun,M,White,False,attack,Foot,60-100
unknown,M,Black,True,attack,Car,21-30
baseball bat,M,Black,True,other,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,21-30
gun,F,White,True,other,Not fleeing,41-60
unarmed,M,Black,False,other,Foot,21-30
gun,M,Native,False,attack,Car,31-40
gun,M,Hispanic,False,attack,Not fleeing,21-30
gun,F,White,False,attack,Not fleeing,41-60
toy weapon,M,White,True,attack,Not fleeing,31-40
unknown,M,White,False,other,Foot,41-60
knife,M,White,True,other,Foot,31-40
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,White,False,other,Not fleeing,41-60
unarmed,M,White,True,attack,Not fleeing,31-40
unknown,M,Black,False,attack,Car,31-40
knife,M,White,False,attack,Not fleeing,41-60
chair,M,White,False,attack,Not fleeing,41-60
knife,M,White,False,attack,Not fleeing,0-20
gun,M,Hispanic,False,other,Not fleeing,21-30
unarmed,M,White,False,attack,Not fleeing,41-60
knife,M,Black,True,other,Not fleeing,31-40
gun,M,Black,False,attack,Car,41-60
gun,M,White,False,attack,Not fleeing,41-60
unknown,M,White,True,other,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,21-30
gun,M,Hispanic,False,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,60-100
gun,M,Hispanic,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,31-40
unknown,M,Hispanic,False,attack,Not fleeing,0-20
unknown,M,Native,False,other,Foot,21-30
gun,M,White,False,attack,Car,41-60
toy weapon,M,Hispanic,False,attack,Not fleeing,31-40
gun,M,Hispanic,False,attack,Car,31-40
knife,M,White,False,attack,Not fleeing,41-60
crowbar,M,Hispanic,False,other,Not fleeing,0-20
unknown,M,White,True,attack,Car,41-60
unarmed,M,Hispanic,False,other,Car,31-40
knife,M,White,True,other,Not fleeing,21-30
gun,M,White,True,attack,Not fleeing,31-40
gun,M,Black,False,attack,Foot,21-30
knife,M,Hispanic,False,other,Not fleeing,41-60
gun,M,White,True,other,Not fleeing,31-40
gun and knife,M,White,False,attack,Car,21-30
gun,M,White,True,attack,Not fleeing,41-60
unknown,M,White,False,undetermined,Other,41-60
knife,M,White,True,attack,Not fleeing,21-30
pipe,M,Hispanic,False,other,Not fleeing,31-40
gun,M,Black,True,other,Not fleeing,21-30
gun,M,Black,True,attack,Not fleeing,31-40
gun,M,White,False,attack,Car,60-100
knife,M,White,True,other,Not fleeing,41-60
unknown,M,Other,False,other,Car,21-30
unknown,M,Hispanic,False,attack,Car,31-40
gun and knife,M,Hispanic,False,attack,Not fleeing,21-30
gun,M,Other,True,attack,Not fleeing,21-30
unknown,M,White,False,other,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,41-60
unknown,M,White,True,attack,Car,41-60
gun,M,Black,False,other,Not fleeing,31-40
gun,M,White,False,attack,Foot,21-30
gun,M,Black,False,attack,Foot,31-40
Taser,M,White,True,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,31-40
gun,M,White,False,other,Not fleeing,41-60
gun,M,Black,False,attack,Car,41-60
gun,M,White,False,attack,Car,41-60
gun,M,White,True,attack,Not fleeing,41-60
baton,M,White,False,other,Not fleeing,31-40
gun,M,Native,False,attack,Foot,31-40
gun,M,White,False,attack,Car,41-60
gun,M,Black,False,other,Not fleeing,21-30
unknown,M,Hispanic,False,attack,Car,21-30
gun,M,Black,False,other,Other,21-30
knife,M,White,True,other,Not fleeing,31-40
unarmed,M,White,False,other,Car,41-60
gun,M,White,False,attack,Not fleeing,21-30
gun and sword,M,White,True,other,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,31-40
gun,M,White,False,other,Foot,21-30
pipe,M,White,False,attack,Not fleeing,41-60
unknown,M,White,True,other,Not fleeing,31-40
gun,F,Black,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,White,False,other,Not fleeing,60-100
unarmed,M,White,False,other,Not fleeing,31-40
knife,M,Hispanic,True,other,Not fleeing,21-30
gun,M,Asian,False,attack,Not fleeing,21-30
gun,M,White,False,attack,Other,41-60
knife,M,Hispanic,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Car,41-60
gun,M,White,True,other,Not fleeing,41-60
gun,M,Hispanic,False,other,Foot,41-60
unknown,M,Hispanic,False,undetermined,Other,21-30
knife,M,Hispanic,True,attack,Not fleeing,31-40
gun,M,White,True,attack,Car,21-30
machete,M,Hispanic,False,other,Foot,31-40
gun,F,Hispanic,True,undetermined,Foot,31-40
knife,M,Hispanic,False,other,Not fleeing,41-60
gun,M,Black,False,other,Not fleeing,21-30
unknown,F,Black,False,attack,Car,21-30
gun,M,White,False,attack,Not fleeing,41-60
unknown,M,White,False,attack,Car,60-100
gun,M,White,False,other,Not fleeing,41-60
unarmed,M,Hispanic,False,attack,Foot,41-60
gun,M,Black,True,attack,Foot,31-40
gun,M,White,True,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Foot,41-60
unknown,M,Hispanic,False,other,Car,41-60
gun,M,Black,False,other,Foot,21-30
gun,M,White,False,attack,Not fleeing,31-40
gun,M,Hispanic,False,other,Not fleeing,31-40
gun,M,Hispanic,False,attack,Not fleeing,0-20
gun,M,White,False,attack,Car,31-40
unknown,M,Black,False,other,Not fleeing,21-30
gun,M,White,False,attack,Foot,31-40
gun,M,White,True,other,Not fleeing,31-40
gun,M,White,False,attack,Other,21-30
unarmed,M,Black,False,attack,Foot,41-60
gun,M,White,False,other,Not fleeing,31-40
gun,M,Black,True,attack,Not fleeing,21-30
knife,M,White,False,attack,Not fleeing,31-40
hammer,M,Hispanic,False,other,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,31-40
unarmed,M,Hispanic,False,other,Car,21-30
gun,M,Native,False,attack,Not fleeing,41-60
gun,F,White,False,attack,Foot,21-30
unarmed,M,Native,False,attack,Not fleeing,31-40
gun,M,Hispanic,False,attack,Not fleeing,31-40
gun,F,White,True,other,Not fleeing,31-40
unknown,M,Native,False,other,Car,31-40
unarmed,M,White,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Foot,21-30
screwdriver,M,Hispanic,False,other,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Foot,31-40
gun,M,White,False,attack,Other,31-40
gun,M,White,False,attack,Car,31-40
machete,M,Black,True,other,Not fleeing,41-60
gun and car,M,Hispanic,False,attack,Car,41-60
gun,M,Native,False,other,Car,21-30
knife,M,Hispanic,False,other,Car,0-20
gun,M,Black,False,attack,Car,41-60
gun,M,White,False,attack,Not fleeing,41-60
knife,M,White,False,attack,Not fleeing,41-60
unknown,M,Black,False,other,Not fleeing,21-30
gun,M,Native,False,attack,Not fleeing,31-40
knife,M,Hispanic,False,attack,Not fleeing,21-30
unknown,M,Black,False,other,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,21-30
ax,F,White,True,other,Not fleeing,31-40
gun,M,Hispanic,False,attack,Not fleeing,21-30
unknown,M,White,False,attack,Car,21-30
pitchfork,M,White,True,attack,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,60-100
gun and car,M,White,False,attack,Car,41-60
gun and car,M,White,False,attack,Car,31-40
knife,M,Asian,False,attack,Not fleeing,41-60
gun,M,Black,False,other,Not fleeing,21-30
gun,M,White,False,attack,Other,31-40
gun,M,Native,False,attack,Other,31-40
gun,M,White,True,attack,Not fleeing,31-40
gun,M,Black,False,undetermined,Foot,21-30
gun,M,White,False,attack,Not fleeing,31-40
unknown,F,Hispanic,False,attack,Not fleeing,31-40
unknown,M,Black,False,undetermined,Car,41-60
knife,F,White,True,other,Not fleeing,41-60
gun,M,White,False,attack,Car,41-60
gun,F,White,True,attack,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Car,31-40
gun,M,White,False,attack,Foot,31-40
gun,M,White,False,other,Not fleeing,31-40
knife,M,Native,False,other,Not fleeing,0-20
gun,M,Black,False,attack,Car,21-30
unknown,M,White,False,attack,Car,31-40
gun,M,White,True,attack,Not fleeing,31-40
gun,M,White,False,other,Car,21-30
unarmed,F,White,False,other,Car,21-30
gun,M,White,True,attack,Not fleeing,41-60
knife,M,Black,False,attack,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,60-100
gun,M,Black,False,other,Foot,21-30
unknown,M,Black,False,other,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,True,attack,Other,0-20
gun,M,Black,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
unknown,M,Hispanic,False,other,Car,0-20
knife,M,Black,True,attack,Not fleeing,60-100
unarmed,M,Black,False,attack,Foot,21-30
gun,M,White,True,undetermined,Other,41-60
unarmed,M,Asian,True,other,Not fleeing,21-30
gun,M,White,False,attack,Car,41-60
gun,M,Hispanic,False,attack,Car,21-30
knife,M,Black,False,other,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,60-100
unarmed,M,White,False,other,Car,21-30
unarmed,M,Hispanic,False,other,Car,21-30
gun,M,Black,False,attack,Not fleeing,41-60
unarmed,M,White,False,undetermined,Car,21-30
gun,M,White,False,attack,Not fleeing,31-40
unarmed,M,Black,False,other,Car,41-60
unknown,M,Native,False,attack,Car,21-30
unknown,M,White,False,attack,Car,0-20
gun,M,White,False,attack,Car,21-30
gun,M,White,False,attack,Not fleeing,21-30
knife,M,White,False,undetermined,Not fleeing,0-20
gun,M,Hispanic,False,other,Foot,21-30
gun,M,White,True,attack,Not fleeing,31-40
gun,M,Black,False,attack,Other,0-20
gun,M,Black,False,attack,Not fleeing,31-40
knife,M,White,True,other,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,21-30
unknown,M,White,False,undetermined,Not fleeing,41-60
gun,M,Hispanic,False,attack,Not fleeing,31-40
gun,M,Hispanic,False,attack,Car,41-60
gun,M,White,False,attack,Not fleeing,31-40
knife,M,Hispanic,False,undetermined,Not fleeing,21-30
gun,M,Hispanic,True,attack,Not fleeing,41-60
unknown,M,White,False,attack,Car,60-100
gun,M,White,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Foot,41-60
gun,M,Black,False,other,Other,21-30
gun,M,Black,False,other,Foot,31-40
gun,M,Hispanic,False,other,Car,31-40
knife,M,White,False,undetermined,Other,31-40
unarmed,M,Black,False,other,Car,41-60
knife,M,Hispanic,True,other,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,31-40
sword,M,White,False,attack,Not fleeing,60-100
gun,M,White,False,attack,Not fleeing,41-60
machete,M,Hispanic,False,other,Not fleeing,60-100
gun,M,Black,False,attack,Not fleeing,21-30
unarmed,M,Black,True,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Car,31-40
unknown,M,Native,False,undetermined,Foot,0-20
gun,M,White,False,attack,Car,41-60
unknown,M,Black,False,attack,Car,31-40
gun,M,Asian,False,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,0-20
gun,M,White,False,attack,Not fleeing,60-100
knife,M,White,False,other,Other,21-30
Taser,M,Native,False,attack,Not fleeing,21-30
unknown,M,White,False,other,Other,41-60
unknown,M,Black,False,other,Car,21-30
gun,M,White,False,attack,Not fleeing,31-40
unarmed,M,Black,False,other,Car,21-30
hatchet,M,Black,False,other,Not fleeing,41-60
toy weapon,M,White,True,other,Not fleeing,31-40
unarmed,M,White,False,other,Not fleeing,0-20
gun,M,Hispanic,True,other,Foot,21-30
gun,M,White,False,attack,Foot,41-60
machete,M,Hispanic,False,other,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,21-30
gun,M,Black,False,attack,Car,21-30
gun,M,White,False,attack,Car,31-40
gun,M,Native,False,attack,Foot,31-40
unknown,M,Black,False,attack,Car,21-30
unarmed,M,White,False,other,Not fleeing,21-30
gun,M,White,True,attack,Not fleeing,31-40
gun,M,Black,False,attack,Car,31-40
gun,M,Hispanic,False,attack,Not fleeing,31-40
unknown,M,White,False,undetermined,Other,31-40
gun,M,White,True,attack,Not fleeing,60-100
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,60-100
gun,F,White,False,attack,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,41-60
knife,M,White,False,attack,Not fleeing,60-100
gun,M,Black,False,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,21-30
gun,M,Asian,False,other,Not fleeing,31-40
pole and knife,M,Hispanic,False,other,Not fleeing,21-30
gun,M,Black,False,attack,Not fleeing,0-20
baseball bat,M,White,False,other,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,21-30
knife,M,Native,False,other,Not fleeing,21-30
gun,M,Hispanic,False,attack,Not fleeing,41-60
vehicle,M,White,False,other,Car,21-30
gun,M,White,False,attack,Not fleeing,60-100
unarmed,M,Black,False,other,Car,41-60
gun,M,Black,False,other,Foot,31-40
knife,M,Hispanic,True,other,Not fleeing,21-30
gun,M,Black,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,21-30
unarmed,M,White,True,other,Not fleeing,41-60
gun,M,White,False,other,Not fleeing,21-30
gun,M,Hispanic,False,other,Other,41-60
gun,M,Black,False,attack,Foot,21-30
gun,M,White,False,attack,Foot,31-40
ax,M,Asian,True,other,Not fleeing,21-30
vehicle,M,Black,False,other,Car,21-30
gun,M,Hispanic,False,attack,Other,60-100
gun,M,White,False,attack,Car,41-60
gun,M,Black,False,attack,Not fleeing,21-30
gun,M,White,False,other,Not fleeing,31-40
gun,M,Black,False,other,Not fleeing,41-60
gun,M,White,False,other,Not fleeing,31-40
gun,M,White,False,attack,Car,41-60
gun,M,Black,False,other,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,31-40
gun,M,White,True,other,Not fleeing,41-60
gun,M,Hispanic,False,other,Not fleeing,21-30
gun,M,Hispanic,False,other,Not fleeing,41-60
gun,M,White,False,undetermined,Foot,31-40
unknown,M,Hispanic,False,other,Not fleeing,31-40
gun,F,White,False,attack,Not fleeing,41-60
unarmed,M,White,False,attack,Not fleeing,21-30
pellet gun,F,Black,False,attack,Not fleeing,60-100
gun,M,Black,True,attack,Car,21-30
gun,M,Black,False,other,Car,31-40
gun,M,Black,False,attack,Foot,21-30
knife,M,Hispanic,False,other,Not fleeing,21-30
unarmed,M,White,False,other,Not fleeing,0-20
gun,M,Black,False,attack,Not fleeing,31-40
knife,M,White,True,attack,Not fleeing,41-60
knife,M,White,False,other,Not fleeing,21-30
gun,M,White,False,other,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
unarmed,M,Black,True,other,Not fleeing,60-100
unknown,M,White,True,other,Car,0-20
unknown,M,White,False,other,Car,41-60
unknown,M,White,True,other,Not fleeing,31-40
gun,M,White,True,other,Not fleeing,31-40
unknown,M,Hispanic,False,other,Car,21-30
unarmed,M,White,False,other,Not fleeing,31-40
unknown,M,White,True,other,Other,41-60
gun,M,Hispanic,False,attack,Other,31-40
gun,M,White,False,other,Car,41-60
BB gun,M,Black,False,attack,Other,21-30
pipe,M,Hispanic,False,attack,Foot,0-20
unarmed,M,Black,True,other,Car,31-40
unknown,M,White,False,other,Foot,41-60
unknown,M,Hispanic,False,other,Foot,21-30
gun,M,White,False,attack,Not fleeing,60-100
gun,M,White,False,attack,Not fleeing,60-100
unarmed,M,Hispanic,False,other,Not fleeing,41-60
knife,M,Hispanic,False,attack,Other,0-20
toy weapon,M,White,True,attack,Not fleeing,21-30
gun,M,White,False,attack,Car,21-30
gun,M,Hispanic,True,other,Other,41-60
unknown,M,Black,False,attack,Car,41-60
knife,M,White,False,attack,Not fleeing,41-60
knife,M,Black,True,other,Not fleeing,41-60
unknown,F,Black,False,attack,Car,21-30
gun,F,White,True,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Foot,31-40
gun,M,White,False,attack,Foot,31-40
gun,M,White,False,attack,Car,31-40
knife,M,Hispanic,False,attack,Car,41-60
knife,M,Black,False,other,Foot,41-60
knife,M,Hispanic,False,attack,Not fleeing,41-60
unarmed,M,White,False,other,Not fleeing,41-60
knife,M,Hispanic,False,other,Foot,21-30
knife,M,Hispanic,False,other,Not fleeing,31-40
unarmed,M,White,True,attack,Foot,31-40
unknown,M,Black,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Foot,31-40
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Foot,31-40
gun,M,White,False,attack,Not fleeing,31-40
knife,M,Black,False,other,Other,21-30
gun,M,White,True,other,Other,21-30
knife,M,White,True,other,Not fleeing,21-30
toy weapon,M,Black,False,attack,Foot,31-40
unarmed,M,White,False,other,Foot,41-60
gun,M,White,False,attack,Foot,41-60
gun,M,Black,False,other,Foot,0-20
gun,M,White,False,other,Not fleeing,31-40
gun,M,Hispanic,False,attack,Not fleeing,0-20
unarmed,M,White,False,other,Not fleeing,41-60
knife,M,Hispanic,False,other,Not fleeing,21-30
unknown,M,Hispanic,False,other,Car,31-40
unknown,M,White,False,attack,Car,21-30
BB gun,M,White,False,other,Not fleeing,41-60
knife,M,Hispanic,True,other,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,31-40
vehicle,M,Black,False,other,Car,31-40
gun,M,White,False,other,Not fleeing,60-100
toy weapon,M,White,False,undetermined,Foot,21-30
gun,M,White,False,other,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,60-100
machete,M,Black,True,other,Not fleeing,41-60
gun,M,White,True,other,Not fleeing,41-60
gun,M,Black,False,attack,Foot,31-40
gun,M,White,True,attack,Not fleeing,60-100
unarmed,M,Black,False,attack,Foot,31-40
gun and knife,M,Asian,False,other,Not fleeing,41-60
gun,F,White,False,other,Car,41-60
knife,M,Black,True,attack,Not fleeing,31-40
gun,M,White,False,other,Not fleeing,21-30
gun,M,White,True,attack,Other,21-30
gun,M,White,True,attack,Not fleeing,41-60
gun,M,Hispanic,False,attack,Not fleeing,41-60
gun,M,Native,False,attack,Car,21-30
gun,M,White,False,attack,Not fleeing,41-60
unknown,M,White,True,undetermined,Other,41-60
unknown,M,White,True,undetermined,Other,31-40
gun,M,Black,False,attack,Not fleeing,21-30
unknown,M,White,False,other,Not fleeing,21-30
unknown,M,Hispanic,False,other,Car,21-30
gun,M,White,True,attack,Not fleeing,41-60
gun,M,Hispanic,False,attack,Car,31-40
gun,M,Hispanic,True,attack,Other,21-30
knife,M,Black,False,other,Foot,41-60
gun,M,Black,False,attack,Car,31-40
gun,M,Black,False,attack,Foot,21-30
gun,M,White,False,attack,Car,21-30
gun,M,Black,False,attack,Car,31-40
gun,M,Black,False,attack,Foot,31-40
unarmed,M,Black,False,other,Car,21-30
gun,M,Black,False,other,Other,21-30
gun,M,White,False,other,Foot,21-30
unarmed,M,Black,False,other,Foot,31-40
toy weapon,M,White,False,other,Not fleeing,41-60
toy weapon,M,White,False,attack,Not fleeing,60-100
knife,M,Black,False,attack,Not fleeing,21-30
sword,M,White,False,other,Foot,31-40
gun,M,Hispanic,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Foot,21-30
gun,M,White,False,attack,Other,31-40
gun,M,White,False,attack,Not fleeing,21-30
gun,M,Black,False,attack,Not fleeing,41-60
machete,M,White,True,other,Not fleeing,21-30
gun,M,Black,False,attack,Not fleeing,21-30
gun,M,White,False,other,Car,21-30
gun,M,White,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,41-60
unknown,M,Hispanic,False,other,Not fleeing,41-60
machete,M,Black,False,other,Car,41-60
unknown,M,Hispanic,False,other,Not fleeing,21-30
unknown,M,Hispanic,False,other,Not fleeing,21-30
gun,M,White,False,attack,Foot,41-60
knife,M,White,False,other,Not fleeing,31-40
gun,M,White,False,other,Not fleeing,41-60
unknown,M,Black,False,attack,Not fleeing,41-60
piece of wood,F,Hispanic,False,other,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,41-60
toy weapon,M,Hispanic,False,other,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,21-30
toy weapon,M,White,False,attack,Not fleeing,31-40
knife,M,White,True,other,Foot,41-60
gun,M,White,False,attack,Not fleeing,60-100
gun,M,White,True,attack,Not fleeing,31-40
knife,M,White,False,other,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,31-40
gun,M,White,False,attack,Foot,41-60
gun,M,Hispanic,False,attack,Not fleeing,0-20
gun,M,White,False,other,Not fleeing,60-100
gun,M,Black,True,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,41-60
unarmed,F,White,False,other,Not fleeing,60-100
pick-axe,M,Hispanic,True,other,Not fleeing,41-60
gun,M,Black,False,attack,Other,21-30
gun,M,Native,False,attack,Foot,21-30
knife,F,White,False,other,Not fleeing,31-40
gun,M,Hispanic,False,attack,Foot,21-30
knife,M,Asian,False,attack,Not fleeing,31-40
gun,M,Black,True,attack,Not fleeing,21-30
gun,M,Hispanic,False,attack,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,31-40
gun,M,Hispanic,False,other,Foot,41-60
gun,M,Hispanic,False,attack,Not fleeing,41-60
knife,F,Black,True,other,Car,31-40
gun,M,White,True,attack,Foot,0-20
gun,M,White,False,attack,Foot,41-60
gun,M,White,False,attack,Not fleeing,60-100
unknown,M,White,False,attack,Car,31-40
gun,M,White,False,other,Not fleeing,31-40
baseball bat,M,Black,False,attack,Not fleeing,41-60
